gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Irf2bpl,3919.991073062461,-2.1632347660375975,0.32835050372038005,-6.588187749149264,4.4522742407155886e-11,4.2266944521215245e-09
BC005537,3640.42078559796,2.276898711454853,0.34562601084894556,6.587752773184546,4.4653335916074296e-11,4.2266944521215245e-09
Fst,1091.4269832705677,-13.662382656634659,2.0795112270744465,-6.569997064096421,5.031625405915767e-11,4.736837787025703e-09
Gm25197,373.42614265710466,3.7846884730999326,0.5763287308262256,6.566891898091214,5.137631578998458e-11,4.810489416833043e-09
Pdzd8,941.8432391522498,-2.8089577248540554,0.4278498774697102,-6.565288136731829,5.193234283662088e-11,4.836408831268531e-09
Gt(ROSA)26Sor,1007.4639534774592,2.978088290419998,0.45531911238352,6.540661723664969,6.1247225475537e-11,5.673392725600277e-09
Ddr1,1254.8818135063043,-2.667194045967766,0.4078755504307489,-6.5392349287693206,6.183432940063668e-11,5.6973098610522795e-09
Kif26a,525.9462838591309,-7.125463975684924,1.0898522970385602,-6.538008861427226,6.234323167323611e-11,5.713806661607385e-09
Pf4,833.0658422156631,-3.023309327993551,0.4634617269278958,-6.523320378651051,6.87677546269457e-11,6.2529118672207355e-09
Dennd5b,731.6698706345691,-2.273230152344645,0.34849835738851925,-6.522929317025048,6.894735981059696e-11,6.2529118672207355e-09
Marcksl1,6619.946489477094,-2.1726259050022656,0.3332914333592226,-6.518697114727825,7.092069572624003e-11,6.398376517551718e-09
Myc,5171.044793466046,-2.5011757569140114,0.38386205674375795,-6.515819193308908,7.229401436978205e-11,6.477372269066766e-09
Cd14,3717.947250142041,-3.154302411497811,0.4841376550967741,-6.515300717246005,7.254417620361116e-11,6.477372269066766e-09
G0s2,1038.3458892172882,2.2891033662436784,0.3517625852235844,6.507523717420651,7.639969245042223e-11,6.7866434493652e-09
Cd302,3982.504810799382,2.010350221213057,0.30905376215046004,6.504856007008697,7.776783505824852e-11,6.872930810607045e-09
Bcar1,1516.8534718566505,-3.221606349454488,0.4963503029550029,-6.490590073733764,8.550082861061713e-11,7.517996716716295e-09
Ccl19,430.82106906015866,5.268105067299516,0.8126961351020132,6.482256823626017,9.036065297115981e-11,7.90518803417389e-09
Gm37760,228.77219680731048,3.346382758023436,0.5173429640505304,6.46840295618012,9.904409171598309e-11,8.62131536032291e-09
Gnai3,3984.101755728439,-1.8720300501320906,0.28970712689176764,-6.461801855608014,1.0346352019536264e-10,8.960975484120358e-09
Tcirg1,5282.918808165886,2.0344505448678762,0.3152329705232641,6.4537999990636585,1.0907974810485081e-10,9.400395008319531e-09
A130014A01Rik,359.0132789960409,4.121307996089221,0.6387509472744082,6.452136022146205,1.1028452159049788e-10,9.45717070787428e-09
Carhsp1,4900.31030185119,-1.7422947326554885,0.27009214667262427,-6.450741919450568,1.1130390338140869e-10,9.49756755848651e-09
Rn18s-rs5,52098.36604138163,2.12981132150187,0.3303651077709533,6.446840999257397,1.142054881144201e-10,9.697389534892082e-09
Gm26853,434.408133229257,3.5589119256088955,0.552103369848351,6.446097089728759,1.1476715743255553e-10,9.697544883154765e-09
Rbm15b,1785.4376010205651,-2.528998611978188,0.3931451573226466,-6.4327349959004785,1.2532805107572085e-10,1.0538507285114742e-08
Dync1li2,2242.849496319921,-1.2675472863308732,0.1974156524695893,-6.4207030722963125,1.3564638413253623e-10,1.1351046695380641e-08
Dnaja2,3721.4364286569594,-1.441355040884961,0.2248387622253387,-6.410616330650321,1.4493251404875705e-10,1.2069812540156586e-08
Trbc1,558.6436359191158,9.58497972715221,1.4967244541803957,6.403970817995976,1.513870591554963e-10,1.254701741000721e-08
Afg3l2,2442.3453800846733,-1.4322553842984476,0.2236878199588753,-6.4029207516160955,1.5243232447123601e-10,1.2548037220674036e-08
Knop1,2712.1830749452033,1.7086047305915912,0.2668650381860302,6.402504959831163,1.5284816150341888e-10,1.2548037220674036e-08
Itgb2,6854.666794221796,2.5757657529606104,0.40285034114945933,6.393852728562018,1.61757233013899e-10,1.3216786746541314e-08
Rps20,9627.623956311149,1.90472721625431,0.2979794932923459,6.392141939732724,1.6357794287225635e-10,1.3302803410484622e-08
Tsc22d2,2526.0719112957436,-2.613865281630836,0.4091530440110776,-6.388478149902428,1.6754475830479407e-10,1.356173038951235e-08
Ephx3,80.75176659311062,-4.646075949796485,0.727902270655932,-6.382829312525405,1.7384564476453465e-10,1.3941454900978098e-08
Zfp688,692.9627159358992,2.008325338745124,0.31461207651426226,6.383497292908529,1.7308865695082668e-10,1.3941454900978098e-08
