gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
0610011F06Rik,2043.7512160387578,-2.1440119997597122,0.33650016900827157,-6.371503485655039,1.8718403727955625e-10,1.7718043135281277e-08
Rpl21,12938.791741604391,-1.8885070490961102,0.2968440039161452,-6.361951139931364,1.9920681751272968e-10,1.865221888084056e-08
Prrc2c,2137.2622808618826,-1.576601390876518,0.24779997340149193,-6.362395319236243,1.9863140970057162e-10,1.865221888084056e-08
Smim4,802.5272901253408,-2.762722312688048,0.4346955782999407,-6.355533505753226,2.077044681714154e-10,1.934331611647988e-08
Ets2,3962.2793808688475,2.4881521996227947,0.39168398868411763,6.352448074229097,2.1191497129855254e-10,1.9629899106061643e-08
Ifrd1,3364.043252484776,2.1989737043750814,0.34628828524785465,6.350124442705804,2.1514081987280294e-10,1.9822708945939854e-08
Cxcl2,1793.2078970392124,15.01934260920003,2.365680633104126,6.348846247049169,2.1693571129035654e-10,1.983540293211813e-08
Fmnl2,964.818884820476,-2.731617222159686,0.4302845024963979,-6.348397877012905,2.1756878865618548e-10,1.983540293211813e-08
Arhgef2,2555.708763065147,1.480016308136767,0.2332409313796862,6.345439882194138,2.2179079641205068e-10,2.0114451180364094e-08
Entpd1,3101.4699271389713,1.8924658552772573,0.29843772184162765,6.341242131185866,2.2791999887289685e-10,2.0534361939982667e-08
App,16763.741761558285,1.2337147204812717,0.19457215560221117,6.340654019393777,2.2879181701978146e-10,2.0534361939982667e-08
Rpsa-ps10,2054.187039266179,-1.573676708401804,0.24832479008762173,-6.337171201661059,2.34021911823945e-10,2.0895502869146265e-08
Cd34,7794.842889429845,2.690706214335608,0.4249131802766166,6.332367032211075,2.414283260141243e-10,2.1446263913931596e-08
Hbegf,781.5113109846307,3.8092226841044754,0.6021845669937826,6.325673045924813,2.521311714058435e-10,2.2282735464755212e-08
Fkbp2,4240.181390823886,-2.293359662389479,0.36291656586408466,-6.319247667653622,2.628397434777974e-10,2.2878944907147773e-08
Dpm3,1453.915343916201,-1.855391623211991,0.2935826972656136,-6.319826203971957,2.6185763397648184e-10,2.2878944907147773e-08
Plekha4,798.7656291822118,-4.321003922771947,0.6836886714622243,-6.320133860826585,2.613368236668465e-10,2.2878944907147773e-08
Rplp2,8477.218381511722,-1.3981091813074893,0.22162776565327566,-6.308366540565831,2.8199574302142764e-10,2.438196317167757e-08
Spry1,1678.0693932110487,3.0181002395805416,0.4784666705933394,6.307858885631136,2.829219834607546e-10,2.438196317167757e-08
Arih1,2403.0629253838056,1.9375708881191802,0.3073763827950454,6.303577622003338,2.9085244269739094e-10,2.494131689309013e-08
A130014A01Rik,359.0132789960409,-4.024123144037001,0.6386685771453962,-6.300800271125424,2.961127619582859e-10,2.514345716981092e-08
Fn1,2538.006908290193,2.171270595400079,0.3445722884360108,6.301350016437254,2.950642197667171e-10,2.514345716981092e-08
Atp5g2,4058.62442581546,-1.3042167317904554,0.207062415366659,-6.298664726193757,3.002205673162698e-10,2.5367905692938664e-08
Pim3,3812.1916221862825,2.157977179269322,0.3429225329895876,6.292899916655072,3.115892515764057e-10,2.6200723377701456e-08
Rps20,9627.623956311149,-1.866308979567923,0.29796962710970276,-6.263420193766289,3.7662394708229457e-10,3.1516328557292306e-08
mt-Nd6,15504.621061907985,-4.337319382892967,0.6928949627387845,-6.259706905284719,3.857016870540324e-10,3.212079145745168e-08
Coa6,683.0079970301177,-1.5110857643217133,0.24151185172555245,-6.25677685598167,3.9301511182026304e-10,3.257324290406984e-08
Timm9,894.9917553868787,-1.5481779627744456,0.24758148559469464,-6.253205723585096,4.0211188239458026e-10,3.316848584209009e-08
Dbi,12128.86004643296,-2.7542573804369606,0.44065284440511665,-6.2504019102729735,4.093977888855538e-10,3.36094241662349e-08
G0s2,1038.3458892172882,-2.1967277332528456,0.35170536237311717,-6.245931874426133,4.212807772087059e-10,3.429256700922382e-08
Ivns1abp,7477.402115920912,2.067625679445673,0.33104339817813244,6.245784361883261,4.2167860368113804e-10,3.429256700922382e-08
Rps15,9063.61473097282,-2.072380404356196,0.3319391435349685,-6.243254056410731,4.2855995178973125e-10,3.468932469580245e-08
Sh3kbp1,2200.331884803089,2.356700931213851,0.378500153303802,6.226420017648585,4.772136658187892e-10,3.8447884275874724e-08
